ID	Title	Genres	Overview	Release Date	revenue	Running Time (minutes)	tagline	MPAA Rating	Actors
3011	Singin' in the Rain	"Comedy, Musical, Romance"	"In 1927 Hollywood, Don Lockwood and Lina Lamont are a famous on-screen romantic pair in silent movies, but Lina mistakes the on-screen romance for real love. When their latest film is transformed into a musical, Don has the perfect voice for the songs, but strident voice faces the studio to dub her voice. Aspiring actress, Kathy Selden is brought in and, while she is working on the movie, Don falls in love with her."	4/10/1952	7200000	103	What a Glorious Feeling!	G	"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse"
3012	Cat on a Hot Tin Roof	"Drama, Romance"	"Brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie. His reunion with his father, Big Daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son."	2/17/1958	17570324	108	Just one pillow on her bed ... and just one desire in her heart!	Unrated	"Elizabeth Taylor, Paul Newman, Burl Ives, Judith Anderson, Jack Carson, Madeleine Sherwood"
3013	Some Like It Hot	"Comedy, Romance"	"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor."	3/18/1959	25000000	122	The movie too HOT for words!	Unrated	"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O\u2019Brien, Joe E. Brown"
3014	Psycho	"Drama, Horror, Thriller"	"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower."	6/16/1960	32000000	109	The master of suspense moves his cameras into the icy blackness of the unexplored!	R	"Anthony Perkins, Vera Miles, John Gavin, Janet Leigh, Martin Balsam, John McIntire"
3015	West Side Story	"Crime, Drama, Musical"	"In the slums of the upper West Side of Manhattan, New York, a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans, the Sharks, to ""own"" the neighborhood streets. Tensions are high between the gangs but two kids, one from each rival gang, fall in love leading to tragedy."	10/18/1961	43656822	152	The screen achieves one of the great entertainments in the history of motion pictures	Unrated	"Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno, George Chakiris, Simon Oakland"
3016	The Man Who Shot Liberty Valance	Western	"A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed."	4/22/1962	8000000	123	Together For The First Time - James Stewart - John Wayne - in the masterpiece of four-time Academy Award winner John Ford	Unrated	"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Ken Murray"
3017	Dr. No	"Adventure, Action, Thriller"	"In the film that launched the James Bond saga, Agent 007 battles mysterious Dr. No, a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins, Bond must go to Jamaica, where he encounters beautiful Honey Ryder, to confront a megalomaniacal villain in his massive island headquarters."	10/4/1962	59600000	110	NOW meet the most extraordinary gentleman spy in all fiction!	PG	"Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord, Bernard Lee, Anthony Dawson"
3018	Lawrence of Arabia	"Adventure, Drama, History, War"	"An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements."	12/10/1962	69995385	216	A Mighty Motion Picture Of Action And Adventure!	PG	"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, Claude Rains"
3019	To Kill a Mockingbird	"Crime, Drama"	"In a small Alabama town in the 1930s, scrupulously honest and highly respected lawyer, Atticus Finch puts his career on the line when he agrees to represent Tom Robinson, a black man accused of rape. The trial and the events surrounding it are seen through the eyes of Finch's six-year-old daughter, Scout. While Robinson's trial gives the movie its momentum, there are plenty of anecdotal occurrences before and after the court date: Scout's ever-strengthening bond with older brother, Jem, her friendship with precocious young Dill Harris, her father's no-nonsense reactions to such life-and-death crises as a rampaging mad dog, and especially Scout's reactions to, and relationship with, Boo Radley, the reclusive 'village idiot' who turns out to be her salvation when she is attacked by a venomous bigot."	12/25/1962	13129846	129	The most beloved Pulitzer Prize book now comes vividly alive on the screen!�	Unrated	"Gregory Peck, Brock Peters, James Anderson, Mary Badham, Phillip Alford, John Megna"
3020	A Hard Day's Night	"Comedy, Musical"	"Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest."	7/6/1964	12299668	88	"The Beatles, starring in their first full-length, hilarious, action-packed film!"	G	"John Lennon, Paul McCartney, George Harrison, Ringo Starr, Wilfrid Brambell, Norman Rossington"
3021	Mary Poppins	"Comedy, Fantasy, Family"	"The movie combines a diverting story, songs, color and sequences of live action blended with the movements of animated figures. Mary Poppins is a kind of Super-nanny who flies in with her umbrella in response to the request of the Banks children and proceeds to put things right with the aid of her rather extraordinary magical powers before flying off again."	8/27/1964	102272727	139	It's supercalifragilisticexpialidocious!	G	"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley, Reta Shaw"
3022	My Fair Lady	"Drama, Family, Musical, Romance"	A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.	10/21/1964	72070731	170	The loverliest motion picture of them all!	G	"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett"
3023	The Sound of Music	"Drama, Family, Musical, Romance"	Film adaptation of a classic Rodgers and Hammerstein musical based on a nun who becomes a governess for an Austrian family.	3/2/1965	286214286	174	The happiest sound in all the world!	G	"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, Peggy Wood, Charmian Carr"
3024	Butch Cassidy and the Sundance Kid	"History, Drama, Western, Crime"	"In late 1890s Wyoming, Butch Cassidy is the affable, clever and talkative leader of the outlaw Hole in the Wall Gang. His closest companion is the laconic dead-shot 'Sundance Kid'. As the west rapidly becomes civilized, the law finally catches up to Butch, Sundance and their gang.  Chased doggedly by a special posse, the two decide to make their way to South America in hopes of evading their pursuers once and for all."	9/23/1969	102308889	110	"Not that it matters, but most of it is true."	PG	"Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Henry Jones, Jeff Corey"
3025	Catch-22	"War, Drama, Comedy"	"A bombardier in World War II tries desperately to escape the insanity of the war. However, sometimes insanity is the only sane way to cope with a crazy situation. Catch-22 is a parody of a ""military mentality"" and of a bureaucratic society in general."	6/24/1970	24911670	121	The anti-war satire of epic proportions.	R	"Martin Balsam, Richard Benjamin, Art Garfunkel, Jack Gilford, Buck Henry, Bob Newhart"
3026	Willy Wonka & the Chocolate Factory	"Family, Fantasy"	Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?	6/29/1971	4000000	100	It's Scrumdiddlyumptious!	G	"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear, Denise Nickerson, Leonard Stone"
3027	Fiddler on the Roof	"Drama, Romance"	"This lavishly produced and critically acclaimed screen adaptation of the international stage sensation tells the life-affirming story of Tevye (Topol), a poor milkman whose love, pride and faith help him face the oppression of turn-of-the-century Czarist Russia. Nominated for eight Academy Awards."	11/3/1971	83304330	181	To Life!	G	"Chaim Topol, Norma Crane, Leonard Frey, Molly Picon, Paul Mann, Rosalind Harris"
3028	Diamonds Are Forever	"Adventure,  Action, Thriller"	Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.	12/13/1971	116019547	120	The man who made 007 a household number	PG	"Sean Connery, Jill St. John, Charles Gray, Lana Wood, Jimmy Dean, Bruce Cabot"
3029	American Graffiti	"Comedy, Drama"	A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.	8/1/1973	140000000	110	Where were you in '62?	PG	"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith, Cindy Williams, Candy Clark"
3030	The Sting	"Comedy, Crime,  Drama"	Set in the 1930's this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.	12/25/1973	159616327	129	...all it takes is a little confidence.	PG	"Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston, Eileen Brennan"
3031	The Exorcist	"Drama, Horror, Thriller"	"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith."	12/26/1973	441306145	122	"Something almost beyond comprehension is happening to a girl on this street, in this house... and a man has been sent for as a last resort. This man is The Exorcist."	R	"Linda Blair, Max von Sydow, Ellen Burstyn, Jason Miller, Lee J. Cobb, Kitty Winn"
3032	Blazing Saddles	"Western, Comedy"	"A town – where everyone seems to be named Johnson – is in the way of the railroad and, in order to grab their land, Hedley Lemar, a politically connected nasty person, sends in his henchmen to make the town unlivable. After the sheriff is killed, the town demands a new sheriff from the Governor, so Hedley convinces him to send the town the first black sheriff in the west."	2/7/1974	119500000	93	Never give a saga an even break!	R	"Cleavon Little, Gene Wilder, Harvey Korman, Slim Pickens, Madeline Kahn, Mel Brooks"
3033	Monty Python and the Holy Grail	"Adventure, Fantasy, Comedy"	"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place""."	3/13/1975	5028948	91	And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.	PG	"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin"
3034	Jaws	"Horror, Adventure, Thriller"	"An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast."	6/18/1975	470654000	124	Don't go in the water.	PG	"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb"
3035	Star Wars	"Adventure, Science Fiction, Action"	Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.	5/25/1977	775398007	121	"A long time ago in a galaxy far, far away..."	PG	"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels"
3036	The Spy Who Loved Me	"Adventure, Action, Thriller"	Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.	7/7/1977	185438673	125	It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.	PG	"Roger Moore, Barbara Bach, Curd Joergens, Richard Kiel, Caroline Munro, Walter Gotell"
3037	Close Encounters of the Third Kind	"Science Fiction, Drama"	"After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen."	11/16/1977	303788635	135	We are not alone.	PG	"Richard Dreyfuss, Francois Truffaut, Teri Garr, Melinda Dillon, Bob Balaban, J. Patrick McNamara"
3038	Grease	Romance	"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?"	7/7/1978	181813770	110	Grease is the word	PG-13	"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway, Didi Conn, Barry Pearl"
3039	Animal House	Comedy	"At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him."	7/27/1978	141000000	109	It was the Deltas against the rules... the rules lost!	R	"John Belushi, Tim Matheson, John Vernon, Verna Bloom, Tom Hulce, Cesare Danova"
3040	Halloween	"Horror, Thriller"	"In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets."	10/25/1978	70000000	91	The Night He Came Home	R	"Donald Pleasence, Jamie Lee Curtis, P.J. Soles, Nancy Kyes, Nick Castle, Tony Moran"
3041	Alien	"Horror, Action, Thriller, Science Fiction"	"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."	5/25/1979	104931801	117	In space no one can hear you scream.	R	"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm"
3042	The Muppet Movie	"Adventure, Comedy, Family"	"Kermit the Frog is persuaded by agent Dom DeLuise to pursue a career in Hollywood. Along the way, Kermit picks up Fozzie Bear, Miss Piggy, Gonzo, and a motley crew of other Muppets with similar aspirations. Meanwhile, Kermit must elude the grasp of a frog-leg restaurant magnate."	5/31/1979	76657000	97	More entertaining than humanly possible.	G	"Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt, Dave Goelz, Charles Durning"
3043	Apocalypse Now	"Drama, War"	"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."	8/15/1979	89460381	153	This is the end...	R	"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, Sam Bottoms, Laurence Fishburne"
3044	The Empire Strikes Back	"Adventure, Action, Science Fiction"	"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."	5/17/1980	538400000	124	The Adventure Continues...	PG	"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse"
3045	The Shining	"Horror, Thriller"	"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within."	5/22/1980	44017374	144	A masterpiece of modern horror.	R	"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone"
3046	Airplane!	Comedy	"Alcoholic pilot, Ted Striker has developed a fear of flying due to wartime trauma, but nevertheless boards a passenger jet in an attempt to woo back his stewardess girlfriend. Food poisoning decimates the passengers and crew, leaving it up to Striker to land the plane with the help of a glue-sniffing air traffic controller and Striker's vengeful former Air Force captain, who must both talk him down."	7/2/1980	83453539	88	"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?"	PG	"Robert Hays, Julie Hagerty, Kareem Abdul-Jabbar, Lloyd Bridges, Peter Graves, Leslie Nielsen"
3047	Caddyshack	Comedy	"At an exclusive country club, an ambitious young caddy, Danny Noonan, eagerly pursues a caddy scholarship in hopes of attending college and, in turn, avoiding a job at the lumber yard. In order to succeed, he must first win the favour of the elitist Judge Smails, and then the caddy golf tournament which Smails sponsors."	7/25/1980	39846344	98	The snobs against the slobs!	R	"Chevy Chase, Rodney Dangerfield, Ted Knight, Michael O'Keefe, Bill Murray, Sarah Holcomb"
3048	Raging Bull	Drama	"When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone."	11/14/1980	23000000	129		R	"Robert De Niro, Joe Pesci, Cathy Moriarty, Frank Vincent, Nicholas Colasanto, Theresa Saldana"
3049	Raiders of the Lost Ark	"Adventure, Action"	"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."	6/12/1981	389925971	115	Indiana Jones - the new hero from the creators of JAWS and STAR WARS.	PG	"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey, John Rhys-Davies, Denholm Elliott"
3050	E.T. the Extra-Terrestrial	"Science Fiction, Adventure, Family, Fantasy"	"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien."	4/3/1982	792910554	115	He is afraid. He is alone. He is three million light years from home.	PG	"Henry Thomas, Drew Barrymore, Robert MacNaughton, Dee Wallace, Peter Coyote, Erika Eleniak"
3051	Fast Times at Ridgemont High	Comedy	"Follows a group of high school students growing up in southern California, based on the real-life adventures chronicled by Cameron Crowe. Stacy Hamilton and Mark Ratner are looking for a love interest, and are helped along by their older classmates, Linda Barrett and Mike Damone, respectively. The center of the film is held by Jeff Spicoli, a perpetually stoned surfer dude who faces off with the resolute Mr. Hand, who is convinced that everyone is on dope."	8/13/1982	27092880	90	"Fast Cars, Fast Girls, Fast Carrots...Fast Carrots?"	R	"Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Phoebe Cates, Brian Backer, Robert Romanus"
3052	Return of the Jedi	"Adventure, Action, Science Fiction"	"As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force."	5/23/1983	572700000	135	The Empire Falls...	PG	"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse"
3053	WarGames	"Thriller, Science Fiction"	"High School student David Lightman (Matthew Broderick) has a talent for hacking. But while trying to hack into a computer system to play unreleased video games, he unwittingly taps into the Defense Department's war computer and initiates a confrontation of global proportions! Together with his girlfriend (Ally Sheedy) and a wizardly computer genius (John Wood), David must race against time to outwit his opponent...and prevent a nuclear Armageddon."	6/3/1983	79567667	114	"Is it a game, or is it real?"	PG	"Matthew Broderick, Dabney Coleman, Ally Sheedy, John Wood, Barry Corbin, Juanin Clay"
3054	Trading Places	Comedy	A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.	6/7/1983	90400000	116	Some very funny business.	R	"Eddie Murphy, Dan Aykroyd, Jamie Lee Curtis, Jim Belushi, Denholm Elliott, Ralph Bellamy"
3055	A Christmas Story	"Comedy, Family"	"The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s."	11/18/1983	19294144	94	"Peace, Harmony, Comfort and Joy... Maybe Next Year."	PG	"Melinda Dillon, Darren McGavin, Peter Billingsley, Jean Shepherd, Ian Petrella, Scott Schwartz"
3056	Footloose	"Drama, Family, Musical, Romance"	"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock."	2/17/1984	80035402	107	He's a big-city kid in a small town. They said he'd never win. He knew he had to.	PG	"Kevin Bacon, John Lithgow, Dianne Wiest, Chris Penn, Lori Singer, Sarah Jessica Parker"
3057	Back to the Future	"Adventure, Comedy, Science Fiction, Family"	"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."	7/3/1985	381109762	116	He's the only kid ever to get into trouble before he was born.	PG	"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson, Claudia Wells"
3058	The Color Purple	Drama	"An epic tale spanning forty years in the life of Celie (Whoopi Goldberg), an African-American woman living in the South who survives incredible abuse and bigotry.  After Celie's abusive father marries her off to the equally debasing ""Mister"" Albert Johnson (Danny Glover), things go from bad to worse, leaving Celie to find companionship anywhere she can.  She perseveres, holding on to her dream of one day being reunited with her sister in Africa.  Based on the novel by Alice Walker."	12/18/1985	146292009	154	It's about life. It's about love. It's about us.	PG-13	"Whoopi Goldberg, Margaret Avery, Danny Glover, Akosua Busia, Oprah Winfrey, Willard E. Pugh"
3059	Top Gun	"Action, Romance, War"	"For Lieutenant Pete 'Maverick' Mitchell and his friend and Co-Pilot Nick 'Goose' Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot."	5/16/1986	356830601	110	Up there with the best of the best.	PG	"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt, Michael Ironside"
3060	Little Shop of Horrors	"Horror, Musical, Comedy"	"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper."	12/19/1986	38748395	94	Don't feed the plants.	PG-13	"Rick Moranis, Ellen Greene, Vincent Gardenia, Steve Martin, Tisha Campbell-Martin, John Candy"
3061	Spaceballs	"Comedy, Science Fiction"	"When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?"	6/24/1987	38119483	96	May the schwartz be with you	PG	"Mel Brooks, Rick Moranis, Bill Pullman, Daphne Zuniga, John Candy, George Wyner"
3062	The Princess Bride	"Adventure, Family, Fantasy, Comedy, Romance"	"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing."	9/18/1987	30857814	98	It's as real as the feelings you feel.	PG	"Cary Elwes, Robin Wright, Mandy Patinkin, Andre the Giant, Chris Sarandon, Christopher Guest"
